ID,Item Code,Quantity_Sold_(kilo),Unit Selling Price (RMB/kg),Item Name_x,Category Code,Category Name,Wholesale Price (RMB/kg),Item Name_y,Loss Rate (%),Weekday
1,102900005115762,6.841,6.0,Amaranth,1011010101,Flower/Leaf Vegetables,3.88,Amaranth,18.52,Wednesday
21,102900005117209,1.909,16.0,7 Colour Pepper (1),1011010504,Capsicum,7.58,7 Colour Pepper (1),15.98,Wednesday
22,102900005118817,5.472,14.0,Spinach,1011010101,Flower/Leaf Vegetables,8.47,Spinach,18.51,Wednesday
23,102900005118824,4.119,10.0,High Melon (1),1011010402,Aquatic Tuberous Vegetables,5.65,High Melon (1),29.25,Wednesday
24,102900005118831,10.0,6.85,Wawacai,1011010101,Flower/Leaf Vegetables,4.13,Wawacai,2.48,Wednesday
25,102900005119944,0.783,16.0,Haixian Mushroom (1),1011010801,Edible Mushroom,10.29,Haixian Mushroom (1),9.89,Wednesday
26,102900005119975,22.402,4.931034482758621,Hongshujian,1010101,Flower/Leaf Vegetables,3.6,Hongshujian,8.42,Wednesday
28,102900005125808,4.383,25.8,Millet Pepper,1011010504,Capsicum,12.1,Millet Pepper,5.86,Wednesday
29,102900005125815,11.888,10.0,Apricot Bao Mushroom (1),1011010801,Edible Mushroom,6.16,Apricot Bao Mushroom (1),5.05,Wednesday
30,102900011001219,1.953,14.0,The Red Bell Pepper (1),1011010504,Capsicum,,The Red Bell Pepper (1),8.93,Wednesday
31,102900011006948,2.623,16.0,Foreign Garland Chrysanthemum ,1011010101,Flower/Leaf Vegetables,11.69,Foreign Garland Chrysanthemum ,26.16,Wednesday
32,102900011008522,18.271,8.0,Sweet Chinese Cabbage,1011010101,Flower/Leaf Vegetables,4.44,Sweet Chinese Cabbage,9.43,Wednesday
33,102900011009970,12.086,9.0,Qinggengsanhua,1010201,Cabbage,6.03,Qinggengsanhua,17.06,Wednesday
34,102900051000944,0.7310000000000001,39.8,Honghu Lotus Root,1011010402,Aquatic Tuberous Vegetables,29.43,Honghu Lotus Root,24.05,Wednesday
35,102900051004294,5.51,14.0,Green Line Pepper,1011010504,Capsicum,6.81,Green Line Pepper,7.8,Wednesday
36,102900051010455,6.549,9.0,Huangbaicai (2),1011010101,Flower/Leaf Vegetables,4.63,Huangbaicai (2),15.61,Wednesday
20,102900005117056,54.548,7.6,Paopaojiao (Jingpin),1011010504,Capsicum,4.32,Paopaojiao (Jingpin),7.08,Wednesday
19,102900005116943,2.129,18.0,Red Hang Pepper,1011010504,Capsicum,7.83,Red Hang Pepper,9.99,Wednesday
27,102900005123880,0.927,12.0,Bell Pepper (1),1011010504,Capsicum,7.5,Bell Pepper (1),16.33,Wednesday
17,102900005116790,4.837,-8.0,Yellow Xincai (1),1011010101,Flower/Leaf Vegetables,3.97,Yellow Xincai (1),10.64,Wednesday
18,102900005116912,1.138,14.0,Jigu Mushroom (1),1011010801,Edible Mushroom,8.16,Jigu Mushroom (1),8.99,Wednesday
2,102900005115779,41.966,8.0,Yunnan Shengcai,1011010101,Flower/Leaf Vegetables,6.72,Yunnan Shengcai,15.25,Wednesday
3,102900005115786,11.352,6.0,Zhuyecai,1011010101,Flower/Leaf Vegetables,3.19,Zhuyecai,13.62,Wednesday
4,102900005115793,4.288,16.0,Chinese Cabbage,1010101,Flower/Leaf Vegetables,9.24,Chinese Cabbage,7.59,Wednesday
5,102900005115823,11.476,10.0,Shanghaiqing,1011010101,Flower/Leaf Vegetables,7.03,Shanghaiqing,14.43,Wednesday
7,102900005115946,3.039,7.0,Muercai,1011010101,Flower/Leaf Vegetables,,Muercai,7.61,Wednesday
8,102900005115960,14.748,3.2,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,2.1,Chinese Cabbage,22.27,Wednesday
9,102900005115984,32.579,6.0,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables,3.44,Yunnan Lettuces,12.81,Wednesday
6,102900005115908,8.959,8.0,Caixin,1011010101,Flower/Leaf Vegetables,4.6,Caixin,13.7,Wednesday
11,102900005116233,2.512,10.0,Red Pepper (1),1011010504,Capsicum,5.76,Red Pepper (1),11.76,Wednesday
12,102900005116257,17.661,6.0,Eggplant (2),1011010501,Solanum,6.56,Eggplant (2),6.07,Wednesday
13,102900005116509,17.713,4.0,Green Eggplant (1),1011010501,Solanum,1.63,Green Eggplant (1),5.01,Wednesday
14,102900005116530,7.693,17.95,Xixia Mushroom (1),1011010801,Edible Mushroom,10.8,Xixia Mushroom (1),13.82,Wednesday
15,102900005116547,13.863,6.0,Needle Mushroom (1),1011010801,Edible Mushroom,4.06,Needle Mushroom (1),3.43,Wednesday
16,102900005116714,34.554,14.0,Broccoli,1011010201,Cabbage,9.23,Broccoli,9.26,Wednesday
10,102900005116226,2.844,8.0,Green Hot Peppers,1011010504,Capsicum,4.64,Green Hot Peppers,6.72,Wednesday
58,102900005118824,4.342,10.0,High Melon (1),1011010402,Aquatic Tuberous Vegetables,5.76,High Melon (1),29.25,Thursday
64,102900005125815,10.164,10.0,Apricot Bao Mushroom (1),1011010801,Edible Mushroom,6.15,Apricot Bao Mushroom (1),5.05,Thursday
59,102900005118831,13.0,6.633333333333333,Wawacai,1011010101,Flower/Leaf Vegetables,4.11,Wawacai,2.48,Thursday
60,102900005119944,2.254,16.0,Haixian Mushroom (1),1011010801,Edible Mushroom,10.13,Haixian Mushroom (1),9.89,Thursday
61,102900005119975,22.549,5.12280701754386,Hongshujian,1011010101,Flower/Leaf Vegetables,3.6,Hongshujian,8.42,Thursday
62,102900005123880,1.679,12.0,Bell Pepper (1),1011010504,Capsicum,6.46,Bell Pepper (1),16.33,Thursday
63,102900005125808,4.148,25.8,Millet Pepper,1010504,Capsicum,12.13,Millet Pepper,5.86,Thursday
65,102900011000328,5.844,10.0,Luosi Pepper,1011010504,Capsicum,7.1,Luosi Pepper,10.18,Thursday
73,102900051010455,4.811,8.48,Huangbaicai (2),1011010101,Flower/Leaf Vegetables,4.76,Huangbaicai (2),15.61,Thursday
67,102900011006689,1.392,10.0,Dongmenkou Xiaobaicai,1011010101,Flower/Leaf Vegetables,6.83,Dongmenkou Xiaobaicai,27.84,Thursday
68,102900011006948,0.857,16.0,Foreign Garland Chrysanthemum ,1011010101,Flower/Leaf Vegetables,11.75,Foreign Garland Chrysanthemum ,26.16,Thursday
69,102900011008522,13.548,8.0,Sweet Chinese Cabbage,1011010101,Flower/Leaf Vegetables,4.44,Sweet Chinese Cabbage,9.43,Thursday
70,102900011009970,13.834,9.0,Qinggengsanhua,1011010201,Cabbage,5.52,Qinggengsanhua,17.06,Thursday
71,102900051000944,0.258,37.6,Honghu Lotus Root,1011010402,Aquatic Tuberous Vegetables,29.54,Honghu Lotus Root,24.05,Thursday
72,102900051004294,4.721,14.0,Green Line Pepper,1011010504,Capsicum,6.85,Green Line Pepper,7.8,Thursday
57,102900005117209,1.825,14.0,7 Colour Pepper (1),1011010504,Capsicum,7.33,7 Colour Pepper (1),15.98,Thursday
66,102900011001219,1.394,12.0,The Red Bell Pepper (1),1011010504,Capsicum,8.24,The Red Bell Pepper (1),8.93,Thursday
56,102900005117056,39.81,7.6,Paopaojiao (Jingpin),1011010504,Capsicum,4.48,Paopaojiao (Jingpin),7.08,Thursday
46,102900005116226,1.6669999999999998,8.0,Green Hot Peppers,1011010504,Capsicum,4.57,Green Hot Peppers,6.72,Thursday
54,102900005116912,1.539,14.0,Jigu Mushroom (1),1011010801,Edible Mushroom,8.05,Jigu Mushroom (1),8.99,Thursday
55,102900005116943,1.679,16.0,Red Hang Pepper,1011010504,Capsicum,7.27,Red Hang Pepper,9.99,Thursday
38,102900005115779,44.873,7.9585585585585585,Yunnan Shengcai,1011010101,Flower/Leaf Vegetables,4.23,Yunnan Shengcai,15.25,Thursday
39,102900005115786,11.556,6.0,Zhuyecai,1011010101,Flower/Leaf Vegetables,,Zhuyecai,13.62,Thursday
40,102900005115793,4.55,16.0,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,9.19,Chinese Cabbage,7.59,Thursday
41,102900005115823,6.806,10.0,Shanghaiqing,1011010101,Flower/Leaf Vegetables,7.03,Shanghaiqing,14.43,Thursday
42,102900005115908,14.275,8.0,Caixin,1011010101,Flower/Leaf Vegetables,4.52,Caixin,13.7,Thursday
43,102900005115946,3.124,7.0,Muercai,1011010101,Flower/Leaf Vegetables,4.23,Muercai,7.61,Thursday
44,102900005115960,11.228,3.007692307692308,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,2.1,Chinese Cabbage,22.27,Thursday
37,102900005115762,8.112,6.0,Amaranth,1011010101,Flower/Leaf Vegetables,3.93,Amaranth,18.52,Thursday
47,102900005116233,3.297,10.0,Red Pepper (1),1011010504,Capsicum,5.71,Red Pepper (1),11.76,Thursday
48,102900005116257,14.432,7.0,Eggplant (2),1011010501,Solanum,3.72,Eggplant (2),6.07,Thursday
49,102900005116509,17.767,4.0,Green Eggplant (1),1011010501,Solanum,,Green Eggplant (1),5.01,Thursday
50,102900005116530,17.345,19.8,Xixia Mushroom (1),1011010801,Edible Mushroom,10.8,Xixia Mushroom (1),13.82,Thursday
51,102900005116547,17.208000000000002,6.0,Needle Mushroom (1),1011010801,Edible Mushroom,4.05,Needle Mushroom (1),3.43,Thursday
52,102900005116714,30.109,14.0,Broccoli,1011010201,Cabbage,,Broccoli,9.26,Thursday
53,102900005116790,10.625,8.0,Yellow Xincai (1),1011010101,Flower/Leaf Vegetables,3.97,Yellow Xincai (1),10.64,Thursday
45,102900005115984,27.056,-6.0,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables,3.58,Yunnan Lettuces,12.81,Thursday
93,102900005117056,32.351,7.6,Paopaojiao (Jingpin),1011010504,Capsicum,5.31,Paopaojiao (Jingpin),7.08,Friday
94,102900005117209,1.581,14.0,7 Colour Pepper (1),1011010504,Capsicum,6.21,7 Colour Pepper (1),15.98,Friday
95,102900005118824,9.572,8.2,High Melon (1),1011010402,Aquatic Tuberous Vegetables,5.61,High Melon (1),29.25,Friday
96,102900005118831,12.0,6.842857142857143,Wawacai,1011010101,Flower/Leaf Vegetables,4.05,Wawacai,2.48,Friday
97,102900005119944,1.816,16.0,Haixian Mushroom (1),1011010801,Edible Mushroom,10.05,Haixian Mushroom (1),9.89,Friday
98,102900005119975,13.734,5.7073170731707314,Hongshujian,1011010101,Flower/Leaf Vegetables,3.6,Hongshujian,8.42,Friday
99,102900005123880,1.369,12.0,Bell Pepper (1),1010504,Capsicum,6.23,Bell Pepper (1),16.33,Friday
100,102900005125808,3.935,25.800000000000004,Millet Pepper,1011010504,Capsicum,12.2,Millet Pepper,5.86,Friday
105,102900011006948,2.09,16.0,Foreign Garland Chrysanthemum ,1011010101,Flower/Leaf Vegetables,11.75,Foreign Garland Chrysanthemum ,26.16,Friday
102,102900011000328,9.099,10.0,Luosi Pepper,1011010504,Capsicum,6.58,Luosi Pepper,10.18,Friday
103,102900011001219,2.239,14.0,The Red Bell Pepper (1),1011010504,Capsicum,7.0,The Red Bell Pepper (1),8.93,Friday
104,102900011006689,3.478,10.0,Dongmenkou Xiaobaicai,1011010101,Flower/Leaf Vegetables,,Dongmenkou Xiaobaicai,27.84,Friday
106,102900011008522,13.562,8.0,Sweet Chinese Cabbage,1011010101,Flower/Leaf Vegetables,4.47,Sweet Chinese Cabbage,9.43,Friday
107,102900011009970,15.616,8.0,Qinggengsanhua,1011010201,Cabbage,4.81,Qinggengsanhua,17.06,Friday
108,102900051004294,4.706,14.0,Green Line Pepper,1010504,Capsicum,8.07,Green Line Pepper,7.8,Friday
109,102900051010455,9.991,9.0,Huangbaicai (2),1010101,Flower/Leaf Vegetables,4.74,Huangbaicai (2),15.61,Friday
101,102900005125815,9.444,10.0,Apricot Bao Mushroom (1),1011010801,Edible Mushroom,,Apricot Bao Mushroom (1),5.05,Friday
92,102900005116943,1.904,16.0,Red Hang Pepper,1011010504,Capsicum,6.75,Red Hang Pepper,9.99,Friday
80,102900005115946,2.306,7.0,Muercai,1011010101,Flower/Leaf Vegetables,4.3,Muercai,7.61,Friday
90,102900005116790,6.943,8.0,Yellow Xincai (1),1011010101,Flower/Leaf Vegetables,3.98,Yellow Xincai (1),10.64,Friday
75,102900005115779,36.309,8.0,Yunnan Shengcai,1011010101,Flower/Leaf Vegetables,4.61,Yunnan Shengcai,15.25,Friday
76,102900005115786,11.125,5.666666666666667,Zhuyecai,1011010101,Flower/Leaf Vegetables,3.79,Zhuyecai,13.62,Friday
77,102900005115793,3.099,16.0,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,9.2,Chinese Cabbage,7.59,Friday
78,102900005115823,13.12,9.858620689655172,Shanghaiqing,1011010101,Flower/Leaf Vegetables,6.76,Shanghaiqing,14.43,Friday
79,102900005115908,8.173,8.0,Caixin,1011010101,Flower/Leaf Vegetables,3.89,Caixin,13.7,Friday
81,102900005115960,10.446,3.6,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,2.11,Chinese Cabbage,22.27,Friday
82,102900005115984,36.709,6.0,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables,3.75,Yunnan Lettuces,12.81,Friday
74,102900005115762,7.694,6.0,Amaranth,1011010101,Flower/Leaf Vegetables,3.57,Amaranth,18.52,Friday
84,102900005116233,4.738,10.0,Red Pepper (1),1011010504,Capsicum,5.7,Red Pepper (1),11.76,Friday
83,102900005116226,2.331,8.0,Green Hot Peppers,1011010504,Capsicum,4.42,Green Hot Peppers,6.72,Friday
89,102900005116714,26.46,14.0,Broccoli,1010201,Cabbage,8.97,Broccoli,9.26,Friday
88,102900005116547,14.633,7.0,Needle Mushroom (1),1011010801,Edible Mushroom,4.05,Needle Mushroom (1),3.43,Friday
91,102900005116912,1.259,14.0,Jigu Mushroom (1),1011010801,Edible Mushroom,7.9,Jigu Mushroom (1),8.99,Friday
86,102900005116509,18.343,4.0,Green Eggplant (1),1011010501,Solanum,1.48,Green Eggplant (1),5.01,Friday
85,102900005116257,17.553,7.0,Eggplant (2),1011010501,Solanum,6.56,Eggplant (2),6.07,Friday
87,102900005116530,15.29,19.8,Xixia Mushroom (1),1011010801,Edible Mushroom,10.8,Xixia Mushroom (1),13.82,Friday
128,102900005117056,45.815,7.6,Paopaojiao (Jingpin),1011010504,Capsicum,5.16,Paopaojiao (Jingpin),7.08,Saturday
129,102900005117209,0.6930000000000001,14.0,7 Colour Pepper (1),1011010504,Capsicum,7.43,7 Colour Pepper (1),15.98,Saturday
130,102900005118824,3.107,-10.0,High Melon (1),1011010402,Aquatic Tuberous Vegetables,5.41,High Melon (1),29.25,Saturday
131,102900005118831,15.0,6.8133333333333335,Wawacai,1011010101,Flower/Leaf Vegetables,4.09,Wawacai,2.48,Saturday
132,102900005119944,1.378,16.0,Haixian Mushroom (1),1011010801,Edible Mushroom,10.08,Haixian Mushroom (1),9.89,Saturday
133,102900005123880,0.618,12.0,Bell Pepper (1),1011010504,Capsicum,7.23,Bell Pepper (1),16.33,Saturday
134,102900005125808,3.4210000000000003,25.800000000000004,Millet Pepper,1011010504,Capsicum,12.08,Millet Pepper,5.86,Saturday
136,102900011000328,10.682,13.976470588235294,Luosi Pepper,1011010504,Capsicum,6.0,Luosi Pepper,10.18,Saturday
137,102900011001219,0.945,14.0,The Red Bell Pepper (1),1011010504,Capsicum,7.37,The Red Bell Pepper (1),8.93,Saturday
143,102900051010455,18.431,8.98125,Huangbaicai (2),1011010101,Flower/Leaf Vegetables,4.63,Huangbaicai (2),15.61,Saturday
139,102900011008522,15.843,8.0,Sweet Chinese Cabbage,1011010101,Flower/Leaf Vegetables,4.44,Sweet Chinese Cabbage,9.43,Saturday
140,102900011009970,12.847,8.0,Qinggengsanhua,1011010201,Cabbage,4.71,Qinggengsanhua,17.06,Saturday
141,102900051000944,2.332,37.6,Honghu Lotus Root,1011010402,Aquatic Tuberous Vegetables,25.48,Honghu Lotus Root,24.05,Saturday
142,102900051004294,8.509,12.0,Green Line Pepper,1010504,Capsicum,6.09,Green Line Pepper,7.8,Saturday
127,102900005116943,1.703,16.0,Red Hang Pepper,1011010504,Capsicum,5.9,Red Hang Pepper,9.99,Saturday
135,102900005125815,13.054,10.0,Apricot Bao Mushroom (1),1011010801,Edible Mushroom,6.0,Apricot Bao Mushroom (1),5.05,Saturday
138,102900011006689,4.908,10.0,Dongmenkou Xiaobaicai,1011010101,Flower/Leaf Vegetables,7.21,Dongmenkou Xiaobaicai,27.84,Saturday
126,102900005116912,1.596,-14.0,Jigu Mushroom (1),1011010801,Edible Mushroom,7.79,Jigu Mushroom (1),8.99,Saturday
124,102900005116714,42.815,14.0,Broccoli,1011010201,Cabbage,9.27,Broccoli,9.26,Saturday
125,102900005116790,5.251,8.0,Yellow Xincai (1),1011010101,Flower/Leaf Vegetables,4.01,Yellow Xincai (1),10.64,Saturday
110,102900005115779,51.205,8.0,Yunnan Shengcai,1011010101,Flower/Leaf Vegetables,,Yunnan Shengcai,15.25,Saturday
111,102900005115786,20.571,6.0,Zhuyecai,1011010101,Flower/Leaf Vegetables,3.46,Zhuyecai,13.62,Saturday
112,102900005115793,7.091,16.0,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,9.16,Chinese Cabbage,7.59,Saturday
114,102900005115908,13.034,8.0,Caixin,1011010101,Flower/Leaf Vegetables,,Caixin,13.7,Saturday
115,102900005115946,4.099,-7.0,Muercai,1011010101,Flower/Leaf Vegetables,4.28,Muercai,7.61,Saturday
116,102900005115960,9.638,3.6,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,2.21,Chinese Cabbage,22.27,Saturday
113,102900005115823,28.186,10.0,Shanghaiqing,1011010101,Flower/Leaf Vegetables,6.56,Shanghaiqing,14.43,Saturday
118,102900005116226,3.948,8.0,Green Hot Peppers,1011010504,Capsicum,4.41,Green Hot Peppers,6.72,Saturday
119,102900005116233,4.948,-10.0,Red Pepper (1),1011010504,Capsicum,5.42,Red Pepper (1),11.76,Saturday
120,102900005116257,33.045,7.0,Eggplant (2),1011010501,Solanum,3.94,Eggplant (2),6.07,Saturday
121,102900005116509,24.022,4.0,Green Eggplant (1),1010501,Solanum,1.98,Green Eggplant (1),5.01,Saturday
122,102900005116530,14.532,19.72207792207792,Xixia Mushroom (1),1011010801,Edible Mushroom,12.0,Xixia Mushroom (1),13.82,Saturday
123,102900005116547,16.702,7.0,Needle Mushroom (1),1011010801,Edible Mushroom,4.05,Needle Mushroom (1),3.43,Saturday
117,102900005115984,43.33,-5.996190476190477,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables,3.75,Yunnan Lettuces,12.81,Saturday
168,102900005125815,14.044,-10.0,Apricot Bao Mushroom (1),1011010801,Edible Mushroom,6.16,Apricot Bao Mushroom (1),5.05,Sunday
163,102900005118824,4.019,-10.0,High Melon (1),1011010402,Aquatic Tuberous Vegetables,5.42,High Melon (1),29.25,Sunday
164,102900005118831,13.0,6.792307692307692,Wawacai,1011010101,Flower/Leaf Vegetables,4.1,Wawacai,2.48,Sunday
165,102900005119975,55.159,6.0,Hongshujian,1011010101,Flower/Leaf Vegetables,3.6,Hongshujian,8.42,Sunday
166,102900005123880,0.626,-12.0,Bell Pepper (1),1011010504,Capsicum,7.23,Bell Pepper (1),16.33,Sunday
167,102900005125808,3.699,25.8,Millet Pepper,1011010504,Capsicum,11.67,Millet Pepper,5.86,Sunday
169,102900011000328,15.638,13.991111111111111,Luosi Pepper,1011010504,Capsicum,7.95,Luosi Pepper,10.18,Sunday
162,102900005117209,1.395,14.0,7 Colour Pepper (1),1011010504,Capsicum,8.35,7 Colour Pepper (1),15.98,Sunday
172,102900011006689,3.625,11.0,Dongmenkou Xiaobaicai,1011010101,Flower/Leaf Vegetables,7.03,Dongmenkou Xiaobaicai,27.84,Sunday
173,102900011008522,17.408,8.0,Sweet Chinese Cabbage,1011010101,Flower/Leaf Vegetables,4.44,Sweet Chinese Cabbage,9.43,Sunday
174,102900011009444,10.427,-11.9875,Dalong Eggplant,1011010501,Solanum,8.1,Dalong Eggplant,10.94,Sunday
175,102900011009970,13.109,8.0,Qinggengsanhua,1011010201,Cabbage,4.93,Qinggengsanhua,17.06,Sunday
176,102900051004294,8.475,12.0,Green Line Pepper,1011010504,Capsicum,,Green Line Pepper,7.8,Sunday
177,102900051010455,14.811,9.0,Huangbaicai (2),1011010101,Flower/Leaf Vegetables,4.75,Huangbaicai (2),15.61,Sunday
170,102900011001219,1.282,16.0,The Red Bell Pepper (1),1011010504,Capsicum,7.3,The Red Bell Pepper (1),8.93,Sunday
161,102900005117056,53.874,-7.599999999999999,Paopaojiao (Jingpin),1011010504,Capsicum,5.16,Paopaojiao (Jingpin),7.08,Sunday
171,102900011001813,20.0,3.5,Needle Mushroom (Bag) (1),1010801,Edible Mushroom,1.63,Needle Mushroom (Bag) (1),8.85,Sunday
159,102900005116912,1.772,14.0,Jigu Mushroom (1),1011010801,Edible Mushroom,7.9,Jigu Mushroom (1),8.99,Sunday
145,102900005115779,34.249,7.997826086956521,Yunnan Shengcai,1011010101,Flower/Leaf Vegetables,5.77,Yunnan Shengcai,15.25,Sunday
146,102900005115786,30.937,5.9971014492753625,Zhuyecai,1010101,Flower/Leaf Vegetables,3.45,Zhuyecai,13.62,Sunday
147,102900005115823,12.038,9.989285714285714,Shanghaiqing,1010101,Flower/Leaf Vegetables,6.56,Shanghaiqing,14.43,Sunday
148,102900005115908,10.791,8.0,Caixin,1011010101,Flower/Leaf Vegetables,4.04,Caixin,13.7,Sunday
149,102900005115946,3.568,7.0,Muercai,1011010101,Flower/Leaf Vegetables,4.31,Muercai,7.61,Sunday
160,102900005116943,2.56,16.0,Red Hang Pepper,1011010504,Capsicum,5.83,Red Hang Pepper,9.99,Sunday
150,102900005115960,9.698,4.0,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,,Chinese Cabbage,22.27,Sunday
144,102900005115762,6.021,6.0,Amaranth,1011010101,Flower/Leaf Vegetables,3.48,Amaranth,18.52,Sunday
152,102900005116226,3.535,8.0,Green Hot Peppers,1011010504,Capsicum,4.35,Green Hot Peppers,6.72,Sunday
153,102900005116233,7.412,10.0,Red Pepper (1),1011010504,Capsicum,5.44,Red Pepper (1),11.76,Sunday
154,102900005116257,26.966,6.996,Eggplant (2),1011010501,Solanum,4.24,Eggplant (2),6.07,Sunday
155,102900005116509,24.423,4.0,Green Eggplant (1),1011010501,Solanum,2.04,Green Eggplant (1),5.01,Sunday
156,102900005116530,18.406,19.8,Xixia Mushroom (1),1011010801,Edible Mushroom,12.0,Xixia Mushroom (1),13.82,Sunday
157,102900005116547,18.991,7.0,Needle Mushroom (1),1011010801,Edible Mushroom,4.05,Needle Mushroom (1),3.43,Sunday
158,102900005116714,42.365,14.0,Broccoli,1011010201,Cabbage,9.47,Broccoli,9.26,Sunday
