ID,Item Code,Unit Selling Price (RMB/kg),Item Name_x,Category Code,Category Name,Wholesale Price (RMB/kg),Item Name_y,Loss Rate (%),Weekday
32650,102900011033234,1.7857142857142858,Hongshujian (Bag),1011010101,Flower/Leaf Vegetables,0.75,Hongshujian (Bag),9.43,Sunday
32643,102900011032213,4.011111111111111,Red Hang Pepper (Bag),1011010504,Capsicum,2.94,Red Hang Pepper (Bag),9.43,Sunday
32644,102900011032237,3.760869565217391,Green Line Pepper (Bag),1011010504,Capsicum,1.54,Green Line Pepper (Bag),9.43,Sunday
32645,102900011032244,4.9,Red Hot Peppers (Bag),1011010504,Capsicum,3.07,Red Hot Peppers (Bag),9.43,Sunday
32646,102900011032251,5.9,Luosi Pepper (Bag),1011010504,Capsicum,2.14,Luosi Pepper (Bag),9.43,Sunday
32647,102900011032343,23.72,7 Colour Pepper (2),1011010504,Capsicum,10.72,7 Colour Pepper (2),9.43,Sunday
32648,102900011032787,1.854285714285714,Zhuyecai (Bag),1011010101,Flower/Leaf Vegetables,0.92,Zhuyecai (Bag),9.43,Sunday
32649,102900011032848,3.9,Ginger And Xiaomijiao Mix (Small Bag),1011010504,Capsicum,1.11,Ginger And Xiaomijiao Mix (Small Bag),9.43,Sunday
32651,102900011033906,2.972093023255814,Powcan Mountain Chinese Cabbage ,1011010101,Flower/Leaf Vegetables,1.51,Powcan Mountain Chinese Cabbage ,9.43,Sunday
32657,102900011034224,2.9,Xiaoqingcai (Bag),1011010101,Flower/Leaf Vegetables,,Xiaoqingcai (Bag),9.43,Sunday
32653,102900011033937,9.627272727272729,Needle Mushroom (2),1011010801,Edible Mushroom,,Needle Mushroom (2),9.43,Sunday
32654,102900011033975,-6.0,Green Eggplant (2),1011010501,Solanum,3.81,Green Eggplant (2),9.43,Sunday
32655,102900011034026,10.0,Zhijiang Qinggengsanhua,1011010201,Cabbage,5.0,Zhijiang Qinggengsanhua,9.43,Sunday
32656,102900011034217,6.5,Chinese Cabbage (Bag),1011010101,Flower/Leaf Vegetables,4.93,Chinese Cabbage (Bag),9.43,Sunday
32658,102900011034231,3.560606060606061,Cabbage Stem (Bag),1011010101,Flower/Leaf Vegetables,3.27,Cabbage Stem (Bag),9.43,Sunday
32659,102900011034330,4.624137931034484,Agaricus Bisporus (Box),1011010801,Edible Mushroom,2.34,Agaricus Bisporus (Box),0.2,Sunday
32660,102900051000944,29.6,Honghu Lotus Root,1010402,Aquatic Tuberous Vegetables,17.0,Honghu Lotus Root,24.05,Sunday
32661,102900051010455,6.0,Huangbaicai (2),1011010101,Flower/Leaf Vegetables,3.36,Huangbaicai (2),15.61,Sunday
32662,106949711300259,2.5,Needle Mushroom (Box),1011010801,Edible Mushroom,2.09,Needle Mushroom (Box),0.45,Sunday
32652,102900011033920,9.154166666666669,Huangxincai (2),1011010101,Flower/Leaf Vegetables,3.81,Huangxincai (2),9.43,Sunday
32642,102900011032206,2.3,Green Hang Pepper (Bag),1011010504,Capsicum,1.7,Green Hang Pepper (Bag),9.43,Sunday
32639,102900011031100,4.9,Millet Pepper (Bag),1011010504,Capsicum,0.96,Millet Pepper (Bag),9.43,Sunday
